date,city,event,reference
3/17/2020,fortlauderdale,Mayor closes restaurants inside dining and businesses where over 10 people gather,https://miami.cbslocal.com/2020/03/17/fort-lauderdale-dean-trantalis-closures/
3/17/2020,lasvegas,"Nevada Governor announces shutdown of hotels, casinos, and nonessential businesses",https://www.usatoday.com/story/travel/2020/03/17/coronavirus-nevada-closes-hotels-casinos-nonessential-businesses/5075789002/
3/17/2020,newjersey,"New Jersey closes indoor malls, amusement centers, and parks",https://abc7ny.com/coronavirus-nj-new-jersey-news-update-cases-map/5987040
3/17/2020,newyork,NYC Mayor tell city to prepare for Shelter-in-Place,https://www.nbcnewyork.com/news/coronavirus/nypd-to-enforce-closures-as-nyc-celebrates-st-patricks-day-with-no-parade-no-bars/2330440
3/17/2020,Worldwide,St. Patrick's Day,
3/18/2020,lasvegas,"Nevada shutdown of hotels, casinos, and nonessential businesses goes into effect",https://www.usatoday.com/story/travel/2020/03/17/coronavirus-nevada-closes-hotels-casinos-nonessential-businesses/5075789002/
3/18/2020,london,UK Prime Minister announces school closings,https://www.theguardian.com/world/2020/mar/18/coronavirus-why-are-uk-schools-closing-and-what-does-it-mean-for-parents
3/18/2020,miami,Miami-Dade County announces beaches and parks closing,https://www.miamiherald.com/news/coronavirus/article241329121.html
3/18/2020,michigan,First confirmed coronavirus death in Michigan,https://www.wxyz.com/news/coronavirus/death-of-patient-with-covid-19-reported-at-beaumont-hospital-in-wayne-county
3/18/2020,newjersey,New Jersey school closings go into effect,https://abc7ny.com/coronavirus-nj-new-jersey-news-update-cases-map/5987040
3/19/2020,miami,Miami-Dade County beaches and parks closings go into effect,https://www.miamiherald.com/news/coronavirus/article241329121.html
3/19/2020,newyork,NYC already empty awaiting Stay-at-Home orders,https://www.cnn.com/2020/03/19/us/coronavirus-new-york-images/index.html
3/20/2020,chicago,Illinois Governor announces Stay-at-Home order,https://abc7chicago.com/society/watch-live-pritzker-announces-stay-at-home-order-amid-covid-19-outbreak-/6032318/
3/20/2020,newjersey,New Jersey to adjust rail service,https://abc7ny.com/traffic/nj-transit-shifts-to-weekend-schedule-during-week-amid-covid-19-crisis/6029934
3/20/2020,newyork,New York Governor announces Stay-at-Home order,https://www.nytimes.com/article/what-is-shelter-in-place-coronavirus.html
3/21/2020,chicago,Illinois Stay-at-Home order goes into effect,https://www.nbcchicago.com/news/local/illinois-stay-at-home-order-now-in-effect/2241919/
3/21/2020,chicago,Chicago to close libraries and parks ,https://www.nbcchicago.com/news/local/chicago-to-close-libraries-and-parks-starting-saturday/2241444/
3/21/2020,newjersey,New Jersey Governor announces and implements Stay-at-Home order,https://covid19.nj.gov/faqs/nj-information/general-public/governor-murphy-announces-statewide-stay-at-home-order-closure-of-all-non-essential-retail-businesses
3/22/2020,neworleans,New Orleans Governor announces Stay-at-Home order,https://www.wwltv.com/article/news/health/coronavirus/la-governor-issues-stay-at-home-order-what-that-means-for-you/289-5533d965-18e4-48f4-86ae-e00e653b2613
3/23/2020,london,UK school closings go into effect,https://www.theguardian.com/world/2020/mar/18/coronavirus-why-are-uk-schools-closing-and-what-does-it-mean-for-parents
3/23/2020,london,UK Prime Minister announces Stay-at-Home order,https://www.cnn.com/2020/03/23/uk/uk-coronavirus-lockdown-gbr-intl/index.html
3/23/2020,michigan,Michigan Governor announces Stay-at-Home order,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-522626--,00.html"
3/23/2020,neworleans,Louisiana Stay-at-Home order goes into effect,https://www.wwltv.com/article/news/health/coronavirus/la-governor-issues-stay-at-home-order-what-that-means-for-you/289-5533d965-18e4-48f4-86ae-e00e653b2613
3/24/2020,florida,Florida Governor orders residents 65 and older to self-quarantine,https://weartv.com/news/local/gov-desantis-florida-residents-age-65-and-older-should-self-quarantine-for-2-weeks
3/24/2020,london,UK Stay-at-Home order goes into effect,https://www.cnn.com/2020/03/23/uk/uk-coronavirus-lockdown-gbr-intl/index.html
3/24/2020,miami,Miami Mayor implemnts Shelter-in-Place order,https://www.miamigov.com/Notices/News-Media/City-of-Miami-Orders-Residents-to-Shelter-in-Place
3/24/2020,michigan,Michigan Stay-at-Home order goes into effect,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-522626--,00.html"
