stream_name,timestamp,count
prague,1577480082,13
prague,1577480441,9
prague,1577483020,1
prague,1577484044,2
prague,1577524260,33
prague,1577526838,18
prague,1577527279,18
prague,1577537940,16
prague,1577548572,0
prague,1577565007,18
prague,1577565400,17
prague,1577602254,0
prague,1577602309,4
prague,1577629828,24
prague,1577638614,4
prague,1577664388,2
prague,1577665807,2
prague,1577678501,24
prague,1577678501,24
prague,1577678501,24
prague,1577678501,24
prague,1577678501,24
prague,1577678501,24
prague,1577678511,28
prague,1577678511,28
prague,1577678511,28
prague,1577681139,14
prague,1577690160,3
prague,1577693694,35
prague,1577698256,35
prague,1577709409,20
prague,1577714113,17
prague,1577717995,13
prague,1577728847,8
prague,1577728850,11
prague,1577736373,21
prague,1577736464,12
prague,1577746168,11
prague,1577793452,14
prague,1577800938,5
prague,1577803230,15
prague,1577803787,24
prague,1577803994,18
prague,1578139295,14
time_square,1578384627,29
prague,1578464771,10
time_square,1578512174,79
time_square,1578601330,85
time_square,1578714467,87
time_square,1578800647,41
time_square,1578800819,66
time_square,1578802279,65
time_square,1578880087,86
time_square,1578891193,67
time_square,1578934463,77
time_square,1579052699,91
time_square,1579087298,50
time_square,1579220367,89
time_square,1579220437,88
time_square,1579255002,31
time_square,1579262280,31
time_square,1579344255,35
new_jersey,1579435257,1
new_jersey,1579435285,0
new_jersey,1579435886,3
new_jersey,1579472253,5
time_square,1579503654,29
new_jersey,1579509888,3
new_jersey,1579572637,1
new_jersey,1579572762,4
time_square,1579653852,84
time_square,1579667934,70
new_jersey,1579679423,1
time_square,1579744408,88
new_jersey,1579765470,4
time_square,1579769640,16
time_square,1579771182,22
new_jersey,1579854449,4
time_square,1579858022,37
new_jersey,1579885800,3
time_square,1579930271,83
time_square,1579952100,30
new_jersey,1579953744,6
new_jersey,1579957899,0
time_square,1580039045,34
new_jersey,1580040286,1
time_square,1580105871,38
new_jersey,1580114771,3
new_jersey,1580124641,5
new_jersey,1580125782,1
time_square,1580194598,25
time_square,1580194985,27
new_jersey,1580198837,4
time_square,1580201326,26
time_square,1580202674,17
time_square,1580202683,17
prague,1580228222,12
prague,1580238275,4
new_jersey,1580250381,2
prague,1580263003,1
new_jersey,1580267058,3
time_square,1580273202,49
prague,1580285534,29
prague,1580286196,29
new_jersey,1580296434,4
prague,1580306518,40
prague,1580310147,46
prague,1580313804,53
prague,1580313966,40
new_jersey,1580324212,0
prague,1580334869,4
time_square,1580358372,57
prague,1580366383,10
prague,1580367678,3
prague,1580370974,29
prague,1580372020,19
prague,1580392493,40
prague,1580400293,31
prague,1580454086,8
time_square,1580460475,33
time_square,1580460620,29
prague,1580461814,38
new_jersey,1580471426,0
new_jersey,1580474643,1
prague,1580483345,46
prague,1580497242,17
prague,1580540235,14
prague,1580558452,29
time_square,1580566661,71
prague,1580596781,13
prague,1580601679,4
prague,1580633895,25
time_square,1580638352,26
prague,1580652568,36
prague,1580652976,37
prague,1580659239,23
prague,1580659297,29
prague,1580659332,32
prague,1580714753,5
new_jersey,1580715107,3
time_square,1580717024,23
prague,1580744518,47
prague,1580805434,23
new_jersey,1580818420,1
new_jersey,1580818786,0
time_square,1580829072,60
prague,1580830006,44
prague,1580835653,14
time_square,1580847605,83
new_jersey,1580856795,8
new_jersey,1580856843,6
prague,1580867752,4
prague,1580867752,4
prague,1580883588,4
prague,1580884262,6
prague,1580888143,6
new_jersey,1580888250,2
time_square,1580890213,32
new_jersey,1580906801,2
prague,1580914894,40
prague,1580917294,33
time_square,1580937738,87
time_square,1580939375,91
time_square,1580964817,74
prague,1580975960,17
new_jersey,1580976172,2
new_jersey,1580993865,0
prague,1581004342,51
time_square,1581040567,63
prague,1581056410,4
new_jersey,1581076355,0
prague,1581082074,57
prague,1581082257,45
time_square,1581103278,85
prague,1581104244,8
time_square,1581119683,94
time_square,1581120595,86
prague,1581121340,1
time_square,1581122357,92
time_square,1581128019,93
time_square,1581129385,91
time_square,1581139616,78
prague,1581142578,5
prague,1581144272,6
prague,1581146079,12
prague,1581165898,44
prague,1581175764,42
prague,1581176718,42
time_square,1581182325,81
prague,1581182913,13
new_jersey,1581194021,7
new_jersey,1581203258,6
new_jersey,1581204741,4
time_square,1581224091,91
time_square,1581225533,89
prague,1581240881,39
prague,1581241134,34
prague,1581264214,35
fort_lauderdale,1581267920,21
fort_lauderdale,1581268693,19
fort_lauderdale,1581268745,25
fort_lauderdale,1581268849,21
fort_lauderdale,1581269012,23
time_square,1581279146,82
new_jersey,1581285126,4
fort_lauderdale,1581286665,9
fort_lauderdale,1581286678,12
fort_lauderdale,1581286750,8
fort_lauderdale,1581286766,6
fort_lauderdale,1581286905,11
fort_lauderdale,1581287167,9
fort_lauderdale,1581288134,9
fort_lauderdale,1581288258,9
fort_lauderdale,1581288344,8
fort_lauderdale,1581288452,13
fort_lauderdale,1581289436,10
fort_lauderdale,1581289464,13
time_square,1581295010,85
time_square,1581309838,82
prague,1581316549,4
prague,1581319872,0
prague,1581325922,38
prague,1581335315,20
fort_lauderdale,1581344150,2
fort_lauderdale,1581346879,12
fort_lauderdale,1581346980,2
fort_lauderdale,1581349703,11
fort_lauderdale,1581349831,11
prague,1581350449,43
fort_lauderdale,1581352085,15
fort_lauderdale,1581352144,15
fort_lauderdale,1581353606,16
fort_lauderdale,1581353606,16
fort_lauderdale,1581353606,16
prague,1581354048,18
fort_lauderdale,1581357268,7
fort_lauderdale,1581361427,21
fort_lauderdale,1581363735,18
fort_lauderdale,1581370784,6
fort_lauderdale,1581375459,4
prague,1581383792,5
time_square,1581396484,65
time_square,1581402006,18
prague,1581402499,3
time_square,1581414872,14
new_jersey,1581426142,0
fort_lauderdale,1581428881,14
fort_lauderdale,1581428972,10
fort_lauderdale,1581429733,11
fort_lauderdale,1581429784,5
prague,1581430694,32
fort_lauderdale,1581432960,9
fort_lauderdale,1581435626,11
fort_lauderdale,1581435729,14
prague,1581454867,9
time_square,1581456970,86
time_square,1581471598,94
time_square,1581482891,63
prague,1581487441,0
new_jersey,1581495233,2
prague,1581513756,55
prague,1581513806,49
fort_lauderdale,1581514978,7
fort_lauderdale,1581521475,7
prague,1581521600,45
fort_lauderdale,1581523095,9
prague,1581523248,35
time_square,1581523583,81
fort_lauderdale,1581523674,9
prague,1581526849,17
fort_lauderdale,1581528392,18
fort_lauderdale,1581528392,18
fort_lauderdale,1581531586,16
fort_lauderdale,1581531864,26
fort_lauderdale,1581531917,19
time_square,1581532062,74
fort_lauderdale,1581532346,15
fort_lauderdale,1581532435,15
fort_lauderdale,1581532468,18
fort_lauderdale,1581532507,31
fort_lauderdale,1581532563,17
fort_lauderdale,1581532628,17
fort_lauderdale,1581536209,16
fort_lauderdale,1581536209,16
fort_lauderdale,1581547214,2
fort_lauderdale,1581548433,3
fort_lauderdale,1581549565,2
prague,1581573680,0
prague,1581578572,11
time_square,1581594428,25
time_square,1581597088,36
time_square,1581597862,43
fort_lauderdale,1581603369,5
prague,1581604437,52
fort_lauderdale,1581604618,5
fort_lauderdale,1581606410,12
fort_lauderdale,1581608051,11
fort_lauderdale,1581610162,24
fort_lauderdale,1581610193,20
fort_lauderdale,1581610975,13
fort_lauderdale,1581611477,13
time_square,1581614515,71
prague,1581616863,16
fort_lauderdale,1581617872,24
prague,1581627681,11
fort_lauderdale,1581631171,4
time_square,1581631485,92
prague,1581663376,11
prague,1581667156,25
prague,1581682685,35
prague,1581699643,21
time_square,1581706082,84
time_square,1581708895,86
time_square,1581709609,91
time_square,1581711993,78
time_square,1581713387,84
time_square,1581720412,97
time_square,1581724762,88
time_square,1581732454,92
time_square,1581735810,82
time_square,1581741110,89
time_square,1581743029,69
abbey_road,1581751917,7
abbey_road,1581752007,5
prague,1581754609,37
abbey_road,1581758505,34
abbey_road,1581758525,34
abbey_road,1581760695,44
prague,1581761988,28
abbey_road,1581770630,26
abbey_road,1581775390,13
abbey_road,1581775421,5
time_square,1581783821,90
prague,1581783893,48
time_square,1581787851,86
prague,1581789644,29
prague,1581789688,20
time_square,1581792684,94
new_jersey,1581799059,16
new_jersey,1581799094,12
new_jersey,1581799136,26
new_jersey,1581799184,18
new_jersey,1581799221,15
new_jersey,1581799390,12
new_jersey,1581799464,16
prague,1581800438,17
prague,1581800460,13
prague,1581800490,15
prague,1581804051,11
prague,1581804092,16
new_jersey,1581805288,7
new_jersey,1581805340,10
new_jersey,1581805374,8
time_square,1581811427,88
time_square,1581823431,89
new_jersey,1581825649,13
prague,1581835405,10
prague,1581835474,9
prague,1581836141,16
prague,1581836448,5
prague,1581836605,11
prague,1581839729,18
time_square,1581843395,40
time_square,1581845080,40
time_square,1581850512,13
time_square,1581855335,20
prague,1581859682,47
fort_lauderdale,1581860528,0
prague,1581866199,40
prague,1581871371,27
prague,1581871371,27
prague,1581876235,24
fort_lauderdale,1581881067,13
prague,1581883270,8
time_square,1581886819,94
time_square,1581886981,95
time_square,1581888779,83
new_jersey,1581889839,26
fort_lauderdale,1581892089,6
time_square,1581897116,85
new_jersey,1581904327,7
time_square,1581906184,89
time_square,1581914672,84
prague,1581918208,5
prague,1581920368,16
prague,1581920456,15
time_square,1581931630,11
prague,1581933654,45
new_jersey,1581940467,3
new_jersey,1581942812,2
prague,1581951653,48
prague,1581955249,32
time_square,1581956364,84
fort_lauderdale,1581956536,11
fort_lauderdale,1581956585,19
fort_lauderdale,1581958357,28
prague,1581958854,23
prague,1581958884,24
fort_lauderdale,1581958984,29
fort_lauderdale,1581970408,16
fort_lauderdale,1581971597,35
prague,1581973258,17
fort_lauderdale,1581976524,10
fort_lauderdale,1581976559,7
fort_lauderdale,1581976712,4
fort_lauderdale,1581977325,12
new_jersey,1581977801,17
new_jersey,1581978705,6
fort_lauderdale,1581979714,14
fort_lauderdale,1581979942,8
fort_lauderdale,1581980806,8
time_square,1581999329,84
prague,1582007553,9
new_jersey,1582013069,3
prague,1582017507,34
prague,1582018035,33
prague,1582018080,39
prague,1582020567,41
time_square,1582022179,12
time_square,1582034891,60
prague,1582038094,43
time_square,1582041171,78
prague,1582058874,7
time_square,1582077473,42
time_square,1582080368,60
time_square,1582087394,81
prague,1582093996,6
new_jersey,1582101253,1
abbey_road,1582112272,32
abbey_road,1582112353,22
new_jersey,1582112542,2
abbey_road,1582113256,21
abbey_road,1582116038,51
abbey_road,1582116088,51
abbey_road,1582116156,46
abbey_road,1582116685,30
abbey_road,1582116715,44
abbey_road,1582116730,51
abbey_road,1582116756,45
time_square,1582117960,48
fort_lauderdale,1582120110,2
fort_lauderdale,1582121502,2
fort_lauderdale,1582123930,14
abbey_road,1582124379,25
prague,1582124486,33
abbey_road,1582125055,50
abbey_road,1582125830,13
fort_lauderdale,1582128550,23
prague,1582131643,15
prague,1582131675,21
fort_lauderdale,1582135048,28
new_jersey,1582135632,7
